date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-30 22:36:15,MrJonBurk,nytimes,1,0,2,"It's over for #Harris, #Klobuchar, #Booker, #Steyer, #Yang, #Castro, #Gabbard, and #Bennet. Yang will make a good VP pick for #Bernie. Klobuchar for #Biden. Booker for #Warren. Bloomberg is a non starter (see Howard Schultz). #Election2020 #VoteBlue2020",,,#Harris #Klobuchar #Booker #Steyer #Yang #Castro #Gabbard #Bennet #Bernie #Biden #Warren #Election2020 #VoteBlue2020,1200906413515493376,https://twitter.com/MrJonBurk/status/1200906413515493376
2019-11-30 19:50:44,pennyshopgirl,pennyshopgirl,0,1,9,"And last, for the white men & women who have heatedly tried to convince me you are not racist or sexist during the last 6mos. Really? Have you? Are you enraged at the treatment #Harris, #Castro, #Booker have received? Or are you relieved you have several faulty white candidates?",,,#Harris #Castro #Booker,1200864760893526016,https://twitter.com/pennyshopgirl/status/1200864760893526016
2019-11-30 19:48:44,ciaogirl9,RachelRGonzalez,0,0,0,"#BOOKER was a #RhodesScholar",,,#BOOKER #RhodesScholar,1200864256314490882,https://twitter.com/ciaogirl9/status/1200864256314490882
2019-11-30 19:05:14,addefalco,,1,0,1,"Doncic is a fantastic player. But the fact he can draw fouls by forcefully initiating contact on retreating defenders w/their hands straight up is just ridiculous. #Doncic has been in the #NBA for barely over a year yet he receives far more respect from officials than #Booker.",,,#Doncic #NBA #NBA #Booker,1200853308606316544,https://twitter.com/addefalco/status/1200853308606316544
2019-11-30 17:11:27,BokharySammye,,0,0,0,"⁦@CoryBooker⁩ #Booker what is this open eyed crazy look Pls stop siphoning money from average Joe, go home #SameGoes4Harris #Run ⁦@AyannaPressley⁩ instead Surprised by @PeteButtigieg SuperPACAttackAdAired on @CNN - Newsweek SeriouslyURIgnorant",,@CoryBooker @AyannaPressley @PeteButtigieg @CNN,#Booker #SameGoes4Harris #Run,1200824675263078401,https://twitter.com/BokharySammye/status/1200824675263078401
2019-11-30 16:30:10,newsbubble3,,0,0,0,"Adam Schiff's star rises with impeachment hearings | TheHill https://www.newsoath.com/news/adam-schiff-s-star-rises-with-impeachment-hearings-thehill #JohnTrumpKamalaHarris #NewIowa #Booker #RhodesScholar #Mulvaney #HouseIntelligenceCommittee #AdamSchiffAdamBennett #Ukrainian #T",,,#JohnTrumpKamalaHarris #NewIowa #Booker #RhodesScholar #Mulvaney #HouseIntelligenceCommittee #AdamSchiffAdamBennett #Ukrainian #T,1200814287482044416,https://twitter.com/newsbubble3/status/1200814287482044416
2019-11-30 16:06:58,mcindoe777,,0,0,0,"#I #KNOW #CORY #BOOKER #WASNT #GOING #TO #BE #PRESIDENT #WHEN #HE #AS #A #CHRISTIAN #WANTS #TO #LEGALIZE #WEED #FOR #ONE #GOD #SAID #MY #CHILDREN/#PEOPLE #SHOULD #NOT #WALK #AROUND #WITH #RED #EYES &amp; #SMOKE #COMING #OUT #THEIR #MOUTHS!!! ",,,#I #KNOW #CORY #BOOKER #WASNT #GOING #TO #BE #PRESIDENT #WHEN #HE #AS #A #CHRISTIAN #WANTS #TO #LEGALIZE #WEED #FOR #ONE #GOD #SAID #MY #CHILDREN #PEOPLE #SHOULD #NOT #WALK #AROUND #WITH #RED #EYES #SMOKE #COMING #OUT #THEIR #MOUTHS,1200808446884483073,https://twitter.com/mcindoe777/status/1200808446884483073
2019-11-30 15:33:32,Kuvidob,QuirkyReally,0,4,5,"#booker #harris #sanders #warren should all recuse themselves from house vote to impeach there's an OBVIOUS conflict of interest in wanting to impeach the POTUS they're running against.",,,#booker #harris #sanders #warren,1200800033362337799,https://twitter.com/Kuvidob/status/1200800033362337799
2019-11-30 15:30:29,ExNYmike2,MsAvaArmstrong,0,0,0,"Agreed! #FeebleFienstein #Gillibrand #Klobachar #Jayapal #Booker #Harris #Hirono &amp; lets not forget #JacksonLee w the payoff, other #DoNothingDems made #KavanaughHearing a circus! #DNC #Soros busing in their protester freaks! I'll never forget it",,,#FeebleFienstein #Gillibrand #Klobachar #Jayapal #Booker #Harris #Hirono #JacksonLee #DoNothingDems #KavanaughHearing #DNC #Soros,1200799266031067137,https://twitter.com/ExNYmike2/status/1200799266031067137
2019-11-30 14:44:39,NewsTalkPD,,0,0,0,"No just WAVE ByeBye dude! Save your coins for some other bet. @CoryBooker #Booker #TrumpLandslideVictory2020 #BlueWave2020",,@CoryBooker,#Booker #TrumpLandslideVictory2020 #BlueWave2020,1200787730755674114,https://twitter.com/NewsTalkPD/status/1200787730755674114
2019-11-30 14:03:37,ConnieAustinTX,myjourneymyself,0,0,0,"#Booker is delusional ",,,#Booker,1200777407319416833,https://twitter.com/ConnieAustinTX/status/1200777407319416833
2019-11-30 08:34:21,JoshuaMaurais,Swaggaboywheelz,0,1,1,"@AOC IM LIVING IN THE FUTURE SO THE PRESENT IS MY PAST YOU SHOULD RESPECT YOUR COMMANDER IN CHIEF @AndrewYang #YangMediaBlackout #YangGang #BoycottMSNBC #BOOMER #BOOKER #YangGang #Yang2020 #2020hindsight #5Dchess",,@AOC @AndrewYang,#YangMediaBlackout #YangGang #BoycottMSNBC #BOOMER #BOOKER #YangGang #Yang2020 #2020hindsight #5Dchess,1200694543273754624,https://twitter.com/JoshuaMaurais/status/1200694543273754624
2019-11-30 07:52:08,Desibesi,NBA,1,0,0,"#Booker double dribbled on his move. Tried to pick up ball for a sec. If they allow that it is a great fake ",,,#Booker,1200683917570977792,https://twitter.com/Desibesi/status/1200683917570977792
2019-11-30 05:08:55,FesterFan,TheFreedomFan,0,0,0,"I don't like looking at life through race. Yet the #DemocraticParty needs to undergo self-reflection. It has treated the 2 #AfricanAmerican candidates in its Presidential Primary - both Senators from major States - like 2nd class citizens. #Booker less than #Sanders?",,,#DemocraticParty #AfricanAmerican #Booker #Sanders,1200642843628277760,https://twitter.com/FesterFan/status/1200642843628277760
2019-11-30 04:20:25,SilverBulletLLC,,0,0,1,"The benefit of the doubt treatment second year player #lukadoncic gets is appalling. I swear when #mavericks drafted him they also got 10 refs with the draft pick. #Suns #Booker #NBA @ValleyoftheSuns",,@ValleyoftheSuns,#lukadoncic #mavericks #Suns #Booker #NBA #NBA,1200630636400144384,https://twitter.com/SilverBulletLLC/status/1200630636400144384
2019-11-30 01:54:40,ToeKneeResist,johnsonsamm,0,1,7,"Not to mention, she’ll actually answer questions; unlike Pete. “If” he decides to answer, he’ll do so in the abstract. People really need to pay attention. If everyone scrutinizes #Warren, #Harris, #Biden, #Booker &amp; #Klobuchar for everything...#MayorPete has to be accounted.",,,#Warren #Harris #Biden #Booker #Klobuchar #MayorPete,1200593959426367488,https://twitter.com/ToeKneeResist/status/1200593959426367488
2019-11-30 01:07:51,Michell37015798,RonQuinones58,0,1,2,"I heard his money is just about gone. As will he. Another one bites the dust. #Booker ",,,#Booker,1200582177848614912,https://twitter.com/Michell37015798/status/1200582177848614912
