date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-30 23:58:24,lesaAMOORE,politi_geek,1,0,3,"Your argument is akin to we can’t have nice things because god forbid everybody gets to benejfit. Neither you, nor #Buttigieg seems to believe #EqualRightsForAll. What sort of jerk says “you pay for it, but you can’t have any”?",,,#Buttigieg #EqualRightsForAll,1200927089471262720,https://twitter.com/lesaAMOORE/status/1200927089471262720
2019-11-30 23:56:51,blenhoff1,politi_geek,0,0,0,"Another damning point against Pete's college tuition means-testing- what about queer/trans folk whose parents won't submit the necessary forms? #pete2020 #peteforamerica #MayorPete #PeteForPresident #PeteButtigieg2020 #Buttigieg #Buttigieg2020",,,#pete2020 #peteforamerica #MayorPete #PeteForPresident #PeteButtigieg2020 #Buttigieg #Buttigieg2020,1200926697610043393,https://twitter.com/blenhoff1/status/1200926697610043393
2019-11-30 23:46:32,jasonbe,nhannahjones,0,0,0,"#Buttigieg is an idiot. #NoButtigieg2020",,,#Buttigieg #NoButtigieg2020,1200924099700117504,https://twitter.com/jasonbe/status/1200924099700117504
2019-11-30 23:44:48,elumos,davidsirota,0,0,0,"Handpicked #neoliberal tool, #Buttigieg ",,,#neoliberal #Buttigieg,1200923666340622338,https://twitter.com/elumos/status/1200923666340622338
2019-11-30 23:38:54,FogBelter,Lis_Smith,0,0,2,"Why would a CEO need to take out a student loan for their kid? Assuming the point of this #Buttigieg campaign take is to say average Americans shouldn’t pay for the student loans of the rich ... the rich don’t take out student loans for their kids to begin with. They cut a check.",,,#Buttigieg,1200922181053505536,https://twitter.com/FogBelter/status/1200922181053505536
2019-11-30 23:38:04,NSchneiderAZ13,HeerJeet,0,0,2,"It ends with corporate lobbyist #Buttigieg becoming more irrelevant, boring, and deranged as he continues to argue against the needs of humanity. ",,,#Buttigieg,1200921971728347136,https://twitter.com/NSchneiderAZ13/status/1200921971728347136
2019-11-30 23:29:14,Dana_n_CO,chellelaine,1,0,1,"i concur. You can promote your fave without slamming mine. Actually, I have several #Klobuchar2020 #Buttigieg #Yang2020 #Bennet moderates. I'm for moderation right now",,,#Klobuchar2020 #Buttigieg #Yang2020 #Bennet,1200919748533338113,https://twitter.com/Dana_n_CO/status/1200919748533338113
2019-11-30 23:19:19,exSJWtruther,,1,0,0,"#Buttigieg #PeteButtigieg #MayorPete #PeteForAmerica ""We grew up together, 3 of our 4 parents were colleagues of sorts, we carpooled together every day of elementary school together, being president has been his sole focus literally since he was 2-years-old, he has...",,,#Buttigieg #PeteButtigieg #MayorPete #PeteForAmerica,1200917252310282241,https://twitter.com/exSJWtruther/status/1200917252310282241
2019-11-30 23:18:04,askboomer1949,srecobo,0,1,1,"I believe the ""best"" must be a REAL #Democrat and #progressive who can beat the #RepublicanParty in an electorate not likely to replace a far right nightmare for a far left nightmare. Get real folks. My preferences as of today: #Castro #Buttigieg #Harris #Warren #Steyer #NoDINO",,,#Democrat #progressive #RepublicanParty #Castro #Buttigieg #Harris #Warren #Steyer #NoDINO,1200916938974609409,https://twitter.com/askboomer1949/status/1200916938974609409
2019-11-30 23:18:03,exSJWtruther,,1,0,0,"2019 MAIN STUFF #Buttigieg #PeteButtigieg #MayorPete #PeteForAmerica ""My teenage nibbling has been posing a variant of this hypothetical to me for years (I've known PB since he was 2 years old and loathe him) and I'm still undecided :(",,,#Buttigieg #PeteButtigieg #MayorPete #PeteForAmerica,1200916932482011137,https://twitter.com/exSJWtruther/status/1200916932482011137
2019-11-30 23:03:13,78tiger,,0,0,0,"#AOC rips #Buttigieg for using 'GOP talking point' about free college https://nypost.com/2019/11/29/aoc-rips-buttigieg-for-using-gop-talking-point-about-free-college/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons via @nypost",,@nypost,#AOC #Buttigieg,1200913200583069696,https://twitter.com/78tiger/status/1200913200583069696
2019-11-30 22:59:21,DollDomain,SisiLiliDidi,0,1,3,"I guess #YangGang would vote out #Buttigieg. Only because Mayer Re-Pete is a very annoying copycat. but I voted for #Bernie, he is too old for the 5,000 meter race. Rumor has it, Obama wants #Sanders out",,,#YangGang #Buttigieg #Bernie #Sanders,1200912227685011457,https://twitter.com/DollDomain/status/1200912227685011457
2019-11-30 22:43:34,stvrsnbrgr,michaelharriot,0,1,2,"Spare us your blacksplaining #Buttigieg and ""his black problem"". 2yrs ago @JoyAnnReid kept her job w/ tearful apologies for her anti-gay blogs—but only after lying about ""being hacked"". Mr Herriot, you should find something you're good at. Because this isn't it, MF.",,@JoyAnnReid,#Buttigieg,1200908254450028544,https://twitter.com/stvrsnbrgr/status/1200908254450028544
2019-11-30 22:37:53,ACBrown68796639,,0,0,0,"https://www.foxnews.com/entertainment/elton-john-reveals-he-wore-diaper-and-used-it-during-las-vegas-show-if-they-only-knew LMAO wonder why @PeteButtigieg #Buttigieg",,@PeteButtigieg,#Buttigieg,1200906824549117952,https://twitter.com/ACBrown68796639/status/1200906824549117952
2019-11-30 22:10:23,ProperGanderUS,,0,0,0,"Ratio of shitposts about #Buttigieg to advocacy posts for other Dem candidates: ~9,999:1",,,#Buttigieg,1200899904316440576,https://twitter.com/ProperGanderUS/status/1200899904316440576
