date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-30 23:19:36,BentleytheDog,my2meows,3,1,3,"There's no back-up plan nor any strategy to leverage a progressive agenda from currently serving #Democrats (look how frequently so-called progressive #Democrats cave). Make no mistake: #Sanders is a #Democrat. And voting for a #Democrat is a wasted vote. https://www.wsws.org/en/articles/2019/08/02/dsac-a02.html",,,#Democrats #Democrats #Sanders #Democrat #Democrat,1200917322413854720,https://twitter.com/BentleytheDog/status/1200917322413854720
2019-11-30 23:04:35,blenhoff1,,0,0,0,"WTF are we doing, America? @owillis https://threadreaderapp.com/thread/1200588557389324288.html #NotMeUs #NoMiddleGround #Bernie2020 #BernieSanders #Sanders #BigUs #IFightForThem #TheTimeIsNow #InThisHouse #MedicareForALL #M4A #Medicare4All #CancelMedicalDebt",,@owillis,#NotMeUs #NoMiddleGround #Bernie2020 #BernieSanders #Sanders #BigUs #IFightForThem #TheTimeIsNow #InThisHouse #MedicareForALL #M4A #Medicare4All #CancelMedicalDebt,1200913544935395334,https://twitter.com/blenhoff1/status/1200913544935395334
2019-11-30 23:03:18,MWSNsports,,0,0,2,"Don't Worry MiLB: Bernie Sanders Has Your Back #Baseball #MiLB #MLB #News #Politics #Sanders #Sports #SportsBiz #Money",,,#Baseball #MiLB #MLB #News #Politics #Sanders #Sports #SportsBiz #Money,1200913219990310913,https://twitter.com/MWSNsports/status/1200913219990310913
2019-11-30 22:59:21,DollDomain,SisiLiliDidi,0,1,3,"I guess #YangGang would vote out #Buttigieg. Only because Mayer Re-Pete is a very annoying copycat. but I voted for #Bernie, he is too old for the 5,000 meter race. Rumor has it, Obama wants #Sanders out ",,,#YangGang #Buttigieg #Bernie #Sanders,1200912227685011457,https://twitter.com/DollDomain/status/1200912227685011457
2019-11-30 22:31:52,thenewshooked,,0,0,1,"Baby Yoda trending higher on social media than Democratic candidates #News #Technology #BabyJabba #Axios #Hutt #Jabba #Sanders #PeteButtigieg #Mandalorian #DisneyPlus #JoeBiden #ElizabethWarren #Biden",,,#News #Technology #BabyJabba #Axios #Hutt #Jabba #Jabba #Sanders #PeteButtigieg #Mandalorian #Mandalorian #DisneyPlus #JoeBiden #ElizabethWarren #Biden,1200905312716435457,https://twitter.com/thenewshooked/status/1200905312716435457
2019-11-30 20:55:47,blenhoff1,AbshirDSM,0,2,2," #NotMeUs #NoMiddleGround #Bernie2020 #BernieSanders #Sanders #BigUs #IFightForThem #TheTimeIsNow #InThisHouse",,,#NotMeUs #NoMiddleGround #Bernie2020 #BernieSanders #Sanders #BigUs #IFightForThem #TheTimeIsNow #InThisHouse,1200881130217455616,https://twitter.com/blenhoff1/status/1200881130217455616
2019-11-30 19:18:41,CahalinEmy,,0,0,1,"@CahalinEmy @ewarren why is Warren ever behind Sanders? She promotes similar ideas and is healthier. Wait, I remember. She's a woman. #Warren #Sanders ",,@CahalinEmy @ewarren,#Warren #Sanders,1200856696278650880,https://twitter.com/CahalinEmy/status/1200856696278650880
2019-11-30 19:11:38,kittyc313,charliekirk11,0,0,0,"If #Warren will lie &amp; she does, about her heritage, getting fired &amp; where her kids attend school how can you possibly put the fate of The People &amp; the world in her hands? u can’t Nor should any one vote #Sanders as he’s aligned himself with @AOC. Squad is running Pelosi.",,@AOC,#Warren #Sanders,1200854922142658560,https://twitter.com/kittyc313/status/1200854922142658560
2019-11-30 18:56:18,blenhoff1,BernieSanders,0,1,2,"Postal banking is a GREAT idea. We've had it before. #NotMeUs #NoMiddleGround #Bernie2020 #BernieSanders #Sanders #BigUs #IFightForThem #TheTimeIsNow #InThisHouse https://www.thenation.com/article/aoc-bernie-sanders-postal-banking-sean-hannity-john-nichols/",,,#NotMeUs #NoMiddleGround #Bernie2020 #BernieSanders #Sanders #BigUs #IFightForThem #TheTimeIsNow #InThisHouse,1200851061843480576,https://twitter.com/blenhoff1/status/1200851061843480576
2019-11-30 18:42:45,JohnCharles411,,0,0,0,"Behind much of the ""electability"" argument against nominating #Warren or #Sanders from ostensibly progressive sources: fear of the tax consequences not for the MIDDLE class, not for the millionaire 1%, but for the 5% highly educated, highly earning elite. ",,,#Warren #Sanders,1200847651648000001,https://twitter.com/JohnCharles411/status/1200847651648000001
2019-11-30 18:04:56,JohnCharles411,,0,0,1,"I agree with this former Secy of Labor & poli sci/econ prof: the ""electability"" line against nominating #Warren or #Sanders pushed so hard by supposedly progressive MSM such as #MSNBC, #CNN, the #nytimes and #washingtonpost is obsolete for 2020 realities.",,,#Warren #Sanders #MSNBC #CNN #nytimes #washingtonpost,1200838133098729473,https://twitter.com/JohnCharles411/status/1200838133098729473
2019-11-30 18:00:31,toolsscore,,0,0,1,"https://toolsscore.com/different-types-of-sanders-and-their-uses/ Learn about the different types of #sanders available in the market, their features, benefits, and disadvantages to help you make an informed decision. ",,,#sanders,1200837024904671232,https://twitter.com/toolsscore/status/1200837024904671232
2019-11-30 17:56:47,aotto1968_2,,0,0,0,"Ich sehe den HART-Linken Kurs der #SPD gar nicht so pessimistisch - die #SPD Partei erfindet sich gerade neu und hat mit #Sanders USA und Corbyn UK auch zwei Vorbilder - die Ära #Clinton, #Blair und #Schröder ist nun mal vorbei.",,,#SPD #SPD #Sanders #Clinton #Blair #Schr,1200836082348298240,https://twitter.com/aotto1968_2/status/1200836082348298240
2019-11-30 17:45:26,InfoGuruShop,,0,0,1,"Why a Great Corbyn Campaign Is Good News for Bernie Sanders https://novaramedia.com/2019/11/30/why-a-great-corbyn-campaign-is-good-news-for-bernie-sanders/ #brexit #sanders #corbyn #England #britain #uk #UKelection2019",,,#brexit #sanders #corbyn #England #britain #uk #UKelection2019,1200833226849304576,https://twitter.com/InfoGuruShop/status/1200833226849304576
2019-11-30 17:38:04,jsouth71,SaraCarterDC,0,1,1,"@BernieSanders = #DNC. #Bernie = rich. #Sanders is a #sellout who will take your money with the promise of redistribution. Higher #taxes &amp; government #control DO NOT benefit lower &amp; middle classes. NOTHING IS FREE! #WWG1WGA #MAGA @POTUS #Trump #QAnon #WalkAway #BLEXIT #Liberal",,@BernieSanders @POTUS,#DNC #Bernie #Sanders #sellout #taxes #control #WWG1WGA #MAGA #Trump #QAnon #WalkAway #BLEXIT #Liberal,1200831373126320128,https://twitter.com/jsouth71/status/1200831373126320128
2019-11-30 17:21:17,RIPJimJim,,0,0,0,"Joe Biden winning the bid for #dems is like giving Trump a ""hall pass"" for the 2020 election. Dems are stupid to think Biden will best Trump. #Sanders #Warren #KamalaHarris",,,#dems #Sanders #Warren #KamalaHarris,1200827150166675462,https://twitter.com/RIPJimJim/status/1200827150166675462
2019-11-30 17:02:39,timbiernoth,BernieSanders,0,0,0," #Sanders #Sanders2020 #BILLIONAIRE #election",,,#Sanders #Sanders2020 #BILLIONAIRE #election,1200822462159761408,https://twitter.com/timbiernoth/status/1200822462159761408
2019-11-30 15:33:32,Kuvidob,QuirkyReally,0,4,5,"#booker #harris #sanders #warren should all recuse themselves from house vote to impeach there's an OBVIOUS conflict of interest in wanting to impeach the POTUS they're running against.",,,#booker #harris #sanders #warren,1200800033362337799,https://twitter.com/Kuvidob/status/1200800033362337799
2019-11-30 14:39:43,AffInt,,1,2,1," Aspettando il dibattito televisivo del #19dicembre a Los Angeles, nel campo democratico di #Usa2020 è ancora corsa a 4 fra #Biden, #Warren, #Sanders e #Buttigieg. Troppo presto per valutare la variabile #Bloomberg.",,,#19dicembre #Usa2020 #Biden #Warren #Sanders #Buttigieg #Bloomberg,1200786491133374464,https://twitter.com/AffInt/status/1200786491133374464
2019-11-30 12:27:38,StevePa45577750,carodjah,0,0,0,"Huh? Do u not have a TV, laptop or phone? Because unless u don't then saying the #Warren camp doesn't attack #Sanders is laughably dishonest.",,,#Warren #Sanders,1200753248828833793,https://twitter.com/StevePa45577750/status/1200753248828833793
2019-11-30 12:08:12,vandersee_grant,,0,0,2,"I don’t think @TheDemocrats, who believe old white men are the cause of all the problems in the world, will nominate #Sanders, #Biden or #Bloomberg for President. ",,@TheDemocrats,#Sanders #Biden #Bloomberg,1200748360052854784,https://twitter.com/vandersee_grant/status/1200748360052854784
2019-11-30 12:01:11,Sanders_Min1,,0,0,0,"Working hard is good but when you enjoy what you are doing, you tend to do much better. https://www.patricksandersministries.org/shop #booklaunch #preorder #sanders #patricksanders #word #wordofwisdom #encouragement",,,#booklaunch #preorder #sanders #patricksanders #word #wordofwisdom #encouragement,1200746595286999040,https://twitter.com/Sanders_Min1/status/1200746595286999040
2019-11-30 11:29:32,EpiHallick,,0,0,0,"#Sanders for the Clueless #Woodworker https://antisocialnetwork-2labz.blogspot.com/2017/06/sanders-for-dummies-freelance-files.html?spref=tw",,,#Sanders #Woodworker,1200738629905199104,https://twitter.com/EpiHallick/status/1200738629905199104
2019-11-30 11:29:21,schestowitz,,0,0,0,"If Democrats Don’t go Bold With Social Reform Right Now, Then When? https://www.counterpunch.org/2019/11/29/if-democrats-dont-go-bold-with-social-reform-right-now-then-when/ more against #sanders than against #trump",,,#sanders #trump,1200738583616925701,https://twitter.com/schestowitz/status/1200738583616925701
2019-11-30 11:12:16,CricktsFromLeft,,0,2,2,"#socialism #liberal #democrat #sanders #aoc #warren #joebiden #kamalaharris #ilhanomar #rashidatlaib #poverty #chaos #tyrannic #taxes #vote #red #trump #2020 #donaldtrump #republican #conservative #jobs #usa ##maga #kag",,,#socialism #liberal #democrat #sanders #aoc #warren #joebiden #kamalaharris #ilhanomar #rashidatlaib #poverty #chaos #tyrannic #taxes #vote #red #trump #donaldtrump #republican #conservative #jobs #usa #maga #kag,1200734284501307392,https://twitter.com/CricktsFromLeft/status/1200734284501307392
2019-11-30 10:37:45,manue49100,GabrielAttal,0,0,1,"Pourtant les vrais progressistes #AOC #Warren #Sanders (USA) veulent nos systèmes sociaux et rejettent le capitalisme qui n rapporté juste aux plus riches.",,,#AOC #Warren #Sanders,1200725598328496129,https://twitter.com/manue49100/status/1200725598328496129
2019-11-30 10:21:55,jr_leborgne,TPCG78,0,1,2,"Je partage l'avis de @TPCG78: de #Sanders à #Bloomberg, le spectre démocrate devient irréel. Wall Street peut dormir tranquille. En France, imaginerait t'on les aficionados de La France insoumise voter pour Bernard Arnault, en dernier ressort? @dbonzy #Campaign2020 #Democrats",,@TPCG78 @dbonzy,#Sanders #Bloomberg #Campaign2020 #Democrats,1200721612212973569,https://twitter.com/jr_leborgne/status/1200721612212973569
2019-11-30 10:05:00,RedPeppermag,,0,5,5,"""The relationship between the US & the UK has often been the driving force of developments in global political economy. We should welcome the international solidarity"" - @peterjgowan on the #Sanders - #Corbyn connection #GE2019 #DemocratPrimaries",,@peterjgowan,#Sanders #Corbyn #GE2019 #GE2019 #DemocratPrimaries,1200717354809860096,https://twitter.com/RedPeppermag/status/1200717354809860096
2019-11-30 09:49:10,lgorhythmical,lgorhythmical,0,1,0,"Thanks #Obama; U, DEM elite banksters bailout facilitator, US military industrial complex warmonger aide, for stepping in2 the public sphere 2 announce U'll support any other #DEM #candidate against #Sanders. U just gave the #BernieSanders2020 DEM nom. campaign its biggest boost!",,,#Obama #DEM #candidate #Sanders #BernieSanders2020,1200713369789054977,https://twitter.com/lgorhythmical/status/1200713369789054977
2019-11-30 09:10:48,lucschrijvers,,0,0,0,"#Worldwide #Information #Blogger #LucSchrijvers: ""#Nieuws #DeWereldMorgen.be - #NoamChomsky: ""Alleen #Sanders kan rampzalige tweede termijn #Trump voorkomen"" 30.11.2019. http://bit.ly/2OwrJsy",,,#Worldwide #Information #Blogger #LucSchrijvers #Nieuws #DeWereldMorgen #NoamChomsky #Sanders #Trump,1200703715432435712,https://twitter.com/lucschrijvers/status/1200703715432435712
2019-11-30 08:25:16,blenhoff1,page_eco,0,0,3,"""But how will Bernie get his policies through Congress?"" says the conventional ""wisdom."" #NotMeUs #NoMiddleGround #Bernie2020 #BernieSanders #Sanders #BigUs #IFightForThem #TheTimeIsNow #InThisHouse",,,#NotMeUs #NoMiddleGround #Bernie2020 #BernieSanders #Sanders #BigUs #IFightForThem #TheTimeIsNow #InThisHouse,1200692256782467072,https://twitter.com/blenhoff1/status/1200692256782467072
2019-11-30 08:02:24,MWSNpr,,0,0,0,"Don't Worry MiLB: Bernie Sanders Has Your Back #Baseball #MiLB #MLB #News #Politics #Sanders #Sports #SportsBiz",,,#Baseball #MiLB #MLB #News #Politics #Sanders #Sports #SportsBiz,1200686501228662784,https://twitter.com/MWSNpr/status/1200686501228662784
2019-11-30 07:23:28,rooseveltFellow,,0,0,0,"#Obama privately said he would speak up to stop #Sanders: report #TheHill",,,#Obama #Sanders #TheHill,1200676702822817792,https://twitter.com/rooseveltFellow/status/1200676702822817792
2019-11-30 06:12:47,IdellGabriel,JamesMa96163439,1,0,2,"Right. A good beginning: #Bernie/Tulsi2020 or #Sanders/Gabbard2020 ",,,#Bernie #Sanders,1200658917384048642,https://twitter.com/IdellGabriel/status/1200658917384048642
2019-11-30 05:49:05,math_hatter,canada_gang,0,0,2,"#YangMediaShoutOut #YangGang #Canada @canada_gang Great job compiling #YouTube links to 190+ videos featuring #AndrewYang! #YangGangLove #LetYangSpeak #YangMediaBlackout #TimeForYang #YangBeatsTrump #Warren #Sanders #Klobuchar #Harris #Buttigieg #Biden #Yang2020 #YangGang2020",,@canada_gang,#YangMediaShoutOut #YangGang #Canada #YouTube #AndrewYang #YangGangLove #LetYangSpeak #YangMediaBlackout #TimeForYang #YangBeatsTrump #Warren #Sanders #Klobuchar #Harris #Buttigieg #Biden #Yang2020 #YangGang2020,1200652950357643265,https://twitter.com/math_hatter/status/1200652950357643265
2019-11-30 05:18:19,FesterFan,TheFreedomFan,0,0,0,"(2) Lots will depend on the Dems Potus Nominee. If it a left-wing nutter like #Sanders or #Warren it is going to be a long night for them. @ewarren who cheated on #AffirmativeAction, comes from a city with lots of race issues, and has an Agenda alien to 85% of Blacks especially",,@ewarren,#Sanders #Warren #AffirmativeAction,1200645208112713730,https://twitter.com/FesterFan/status/1200645208112713730
2019-11-30 05:08:55,FesterFan,TheFreedomFan,0,0,0,"I don't like looking at life through race. Yet the #DemocraticParty needs to undergo self-reflection. It has treated the 2 #AfricanAmerican candidates in its Presidential Primary - both Senators from major States - like 2nd class citizens. #Booker less than #Sanders?",,,#DemocraticParty #AfricanAmerican #Booker #Sanders,1200642843628277760,https://twitter.com/FesterFan/status/1200642843628277760
2019-11-30 04:11:33,Well2TheRight,,0,0,0,"Some #Democrat contenders for the 2020 nomination: A plagiarist, the real Ukraine crook (#Biden)- comes with crackhead kid- A 3-parenthesis party-flipper (#Bloomberg)- A fake Indian (#Warren)- A communist (#Sanders)- A guy who's ""married"" to another guy- I'm gonna be sick lol-",,,#Democrat #Biden #Bloomberg #Warren #Sanders,1200628407060570112,https://twitter.com/Well2TheRight/status/1200628407060570112
2019-11-30 04:02:20,Paine4Democracy,jkfecke,0,0,0,"Ds candidates shld make this a very big issue rt now! Use McConnell's 2015 words saying that the voters get 2 decide #scotus after the next pres election. Many ppl will understand that this makes Rs look like the jerks they r! #Klobuchar2020 #Sanders #Warren2020 #Buttigieg #DNC",,,#scotus #Klobuchar2020 #Sanders #Warren2020 #Buttigieg #DNC,1200626088713637888,https://twitter.com/Paine4Democracy/status/1200626088713637888
