date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-30 23:42:26,williederrick3,,0,0,2,"Derrick Hernyish #Harris #BAMAvsAUB",,,#Harris #BAMAvsAUB,1200923070699098113,https://twitter.com/williederrick3/status/1200923070699098113
2019-11-30 23:21:54,joe_skucinski,,0,1,0,"Don't bother to analyze this or think logically. #CHRISTINA_GREER guest on #Al_Sharpton_Show, says it's because #Harris is #female and a colored person...... I mean #PERSON_OF_COLOR. Case closed.",,,#CHRISTINA_GREER #Al_Sharpton_Show #Harris #female #PERSON_OF_COLOR,1200917901429092353,https://twitter.com/joe_skucinski/status/1200917901429092353
2019-11-30 23:18:04,askboomer1949,srecobo,0,1,1,"I believe the ""best"" must be a REAL #Democrat and #progressive who can beat the #RepublicanParty in an electorate not likely to replace a far right nightmare for a far left nightmare. Get real folks. My preferences as of today: #Castro #Buttigieg #Harris #Warren #Steyer #NoDINO",,,#Democrat #progressive #RepublicanParty #Castro #Buttigieg #Harris #Warren #Steyer #NoDINO,1200916938974609409,https://twitter.com/askboomer1949/status/1200916938974609409
2019-11-30 23:13:13,ray_uga,PatDeplorable,0,1,2,"#Harris is a complete JOKE. She knows she has 0 chance of becoming President. He track record is trash. Period! #Trump2020 will be an easy election and #Trump had a bank full of money to win it too. Get ready for #4MoreYears #Democrats",,,#Harris #Trump2020 #Trump #4MoreYears #Democrats,1200915718880972800,https://twitter.com/ray_uga/status/1200915718880972800
2019-11-30 22:46:53,catsvideo1,,0,0,0,"Sen KaMala #harris--#QUIT!!!!!",,,#harris #QUIT,1200909089787613185,https://twitter.com/catsvideo1/status/1200909089787613185
2019-11-30 22:45:44,Jilliandance,lacadri34,0,0,1,"My dream ticket was always #Warren/#Harris I'm sad that's not an option any more. I'm also pissed abt the #YangMediaBlackout! WTF! It seems like #MSM is RUNNING (rather than reporting on) the #DemPrimary, not #WeThePeople",,,#Warren #Harris #YangMediaBlackout #MSM #DemPrimary #WeThePeople,1200908799105626112,https://twitter.com/Jilliandance/status/1200908799105626112
2019-11-30 22:36:15,MrJonBurk,nytimes,1,0,2,"It's over for #Harris, #Klobuchar, #Booker, #Steyer, #Yang, #Castro, #Gabbard, and #Bennet. Yang will make a good VP pick for #Bernie. Klobuchar for #Biden. Booker for #Warren. Bloomberg is a non starter (see Howard Schultz). #Election2020 #VoteBlue2020",,,#Harris #Klobuchar #Booker #Steyer #Yang #Castro #Gabbard #Bennet #Bernie #Biden #Warren #Election2020 #VoteBlue2020,1200906413515493376,https://twitter.com/MrJonBurk/status/1200906413515493376
2019-11-30 22:22:21,cosmicwillow,,0,0,0,"No problem with environment? #johnson #Tories you bastards, look at this autopsy on #Harris today, enough ingested plastic netting/rope to fill a mini, things are past desperate #VoteLabour #winterwatch @ChrisGPackham",,@ChrisGPackham,#johnson #Tories #Harris #VoteLabour #winterwatch,1200902917315805184,https://twitter.com/cosmicwillow/status/1200902917315805184
2019-11-30 22:14:36,iLevelSports,,0,0,0,"#Harris can beat Trump in the voting booth, especially if she demonstrates some business chops. Trump hasn’t fixed infrastructure and big business isn’t helping him Kamala Harris aide resigns, goes on to work for Bloomberg campaign ",,,#Harris,1200900964204417024,https://twitter.com/iLevelSports/status/1200900964204417024
2019-11-30 21:43:10,joshmaisie,MandyThrall,0,0,1,"#VirginiaGiuffre is not putting herself up against royals unless she is 100% telling truth and I believe her! #pricerandyandyepstein #pedo #nonce #saville #harris there is that many #pedo mixed with royals? #royals not brightest stars in planet? #whackos",,,#VirginiaGiuffre #pricerandyandyepstein #pedo #nonce #saville #harris #pedo #royals #whackos,1200893056838447113,https://twitter.com/joshmaisie/status/1200893056838447113
