date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-30 23:52:49,AngryCDNMom,DaCoach1776,0,0,0,"Fraud #Warren ",,,#Warren,1200925683763105793,https://twitter.com/AngryCDNMom/status/1200925683763105793
2019-11-30 23:40:44,TothePointMyo,,2,0,8,"Waiting for @ewarren in #Chicago. #2020Elections #2020 #Warren2020 #Warren #DudesGottaGo #DudeGottaGo",,@ewarren,#Chicago #2020Elections #Warren2020 #Warren #DudesGottaGo #DudeGottaGo,1200922642452230144,https://twitter.com/TothePointMyo/status/1200922642452230144
2019-11-30 23:26:47,JennSchanzWXYZ,,5,7,9,"HAPPENING NOW: Large house fire in #Warren off of E. 8 Mile. Warren PD and fire crews are on scene. We're headed there now. Unclear of how fire started or any possible injuries. Stay tuned for more info. Video credit: Katie Lang @wxyzdetroit",,@wxyzdetroit,#Warren,1200919131253555200,https://twitter.com/JennSchanzWXYZ/status/1200919131253555200
2019-11-30 23:18:04,askboomer1949,srecobo,0,1,1,"I believe the ""best"" must be a REAL #Democrat and #progressive who can beat the #RepublicanParty in an electorate not likely to replace a far right nightmare for a far left nightmare. Get real folks. My preferences as of today: #Castro #Buttigieg #Harris #Warren #Steyer #NoDINO",,,#Democrat #progressive #RepublicanParty #Castro #Buttigieg #Harris #Warren #Steyer #NoDINO,1200916938974609409,https://twitter.com/askboomer1949/status/1200916938974609409
2019-11-30 23:14:47,organizetheppl,,6,0,10,"3 blocks of 45 to 65 year old white people with graduate degrees have descended on my neighborhood for a #Warren rally. Walking along the lines, I could just feel the support for the largest military budget in history and American imperialism in the air. ",,,#Warren,1200916112428478464,https://twitter.com/organizetheppl/status/1200916112428478464
2019-11-30 23:10:58,metrodetroitsc1,,0,0,0,"#WARREN— Reports of a home explosion. No reports on injuries. Stay with MDN as we update the incident. Location: Near Le Fever &amp; Toepfer VC: Katie L ",,,#WARREN,1200915150699667456,https://twitter.com/metrodetroitsc1/status/1200915150699667456
2019-11-30 23:00:04,NJ_Perinatal,,0,0,0,"#GestationalDiabetes During Pregnancy: http://bit.ly/2neNL7N #Pregnancy #Perinatal #Westfield #Livingston #Warren #Teaneck #Belleville #NJ",,,#GestationalDiabetes #Pregnancy #Perinatal #Westfield #Livingston #Warren #Teaneck #Belleville #NJ,1200912407809478656,https://twitter.com/NJ_Perinatal/status/1200912407809478656
2019-11-30 22:59:13,YangGangMO1,,0,0,2,"Brand new video #YangGang #AndrewYang2020 #AndrewYang #youtube #ContentCreator #warren #Election2020 https://youtu.be/PuBM_RmIQik",,,#YangGang #AndrewYang2020 #AndrewYang #youtube #ContentCreator #warren #Election2020,1200912192255733760,https://twitter.com/YangGangMO1/status/1200912192255733760
2019-11-30 22:56:23,JohnMentally,SenSanders,0,0,0,"As long as they don't get around your taxes. They have people whose jobs are to do their finances in such a way as to avoid paying taxes. Plus some of those Wall Street people might move and renounce their citizenship if #Bernie/#Warren become president and pass a #WealthTax.",,,#Bernie #Warren #WealthTax,1200911478926249984,https://twitter.com/JohnMentally/status/1200911478926249984
2019-11-30 22:45:44,Jilliandance,lacadri34,0,0,1,"My dream ticket was always #Warren/#Harris I'm sad that's not an option any more. I'm also pissed abt the #YangMediaBlackout! WTF! It seems like #MSM is RUNNING (rather than reporting on) the #DemPrimary, not #WeThePeople",,,#Warren #Harris #YangMediaBlackout #MSM #DemPrimary #WeThePeople,1200908799105626112,https://twitter.com/Jilliandance/status/1200908799105626112
2019-11-30 22:38:26,WatersOfMarch11,ProudResister,0,0,0,"I’ve made my choice and not wavering. #Warren doesn’t waver.",,,#Warren,1200906963426529285,https://twitter.com/WatersOfMarch11/status/1200906963426529285
2019-11-30 22:37:26,DruryPatricia,ProudResister,0,0,0,"#Warren ",,,#Warren,1200906711038607360,https://twitter.com/DruryPatricia/status/1200906711038607360
2019-11-30 22:36:15,MrJonBurk,nytimes,1,0,2,"It's over for #Harris, #Klobuchar, #Booker, #Steyer, #Yang, #Castro, #Gabbard, and #Bennet. Yang will make a good VP pick for #Bernie. Klobuchar for #Biden. Booker for #Warren. Bloomberg is a non starter (see Howard Schultz). #Election2020 #VoteBlue2020",,,#Harris #Klobuchar #Booker #Steyer #Yang #Castro #Gabbard #Bennet #Bernie #Biden #Warren #Election2020 #VoteBlue2020,1200906413515493376,https://twitter.com/MrJonBurk/status/1200906413515493376
2019-11-30 22:15:32,tmj_mit_cstsrv,,0,0,0,"If you're looking for work in #Warren, MI, check out this job: http://bit.ly/2szMcV7 #CustomerService",,,#Warren #CustomerService,1200901200717082624,https://twitter.com/tmj_mit_cstsrv/status/1200901200717082624
2019-11-30 22:08:43,YangGangMO1,,0,0,0,"Got another one on the way. #youtube #Yang2020 #AndrewYang #Warren #politics #Election2020",,,#youtube #Yang2020 #AndrewYang #Warren #politics #Election2020,1200899486362546176,https://twitter.com/YangGangMO1/status/1200899486362546176
2019-11-30 22:05:57,wingmanalysis,,0,0,0,"If @AndrewYang can appeal to the Pink Hat #feminist #MeToo &amp; #TimesUp crowd, much more of #Warren #Feminism &amp; womens march supporters would become #YangGang . #WomenForYang #WomensRights #ElizabethWarren #AndrewYang @Zach_Graumann @marchandsteve",,@AndrewYang @Zach_Graumann @marchandsteve,#feminist #MeToo #MeToo #TimesUp #Warren #Feminism #YangGang #WomenForYang #WomensRights #ElizabethWarren #AndrewYang,1200898790397485056,https://twitter.com/wingmanalysis/status/1200898790397485056
2019-11-30 21:59:09,Angiefromisland,DallasforWarren,0,1,1,"#TeamWarren #YesWePlan #DallasCowboys #Dallas #SaturdayThoughts #weekendfun #VoteBlue #Warren2020 #Warren #plan #WarrenWeeken",,,#TeamWarren #YesWePlan #DallasCowboys #DallasCowboys #Dallas #SaturdayThoughts #weekendfun #VoteBlue #Warren2020 #Warren #plan #WarrenWeeken,1200897076495867904,https://twitter.com/Angiefromisland/status/1200897076495867904
2019-11-30 21:40:57,BIG_Deutschland,syntainicsmbc,0,0,4," Drittes Spiel für #Harmsen, zweiter Saisonsieg für den #MBC nach 13-Punkte-Rückstand zur Halbzeit @rastavechta (5-5) 84:88 @syntainicsmbc (2-8) -Scorer: Andrew #Warren: 19 pts | 3 reb -Scorer: Benedikt #Turudic: 7 pts | 4 reb",,@rastavechta @syntainicsmbc,#Harmsen #MBC #Warren #Turudic,1200892495573475328,https://twitter.com/BIG_Deutschland/status/1200892495573475328
2019-11-30 21:39:12,SharonCarbine,BEVHOWARD40,0,0,0,"#ElizabethWarren has some attractive traits. However, #Warren's central #MedicareForAll plan is NOT realistic. That leaves @SenWarren with nothing solid to offer.",,@SenWarren,#ElizabethWarren #Warren #MedicareForAll,1200892054756302854,https://twitter.com/SharonCarbine/status/1200892054756302854
2019-11-30 21:36:55,PulpNews,,0,0,0,"#Police seek #identity of driver involved in #fatal hit-and-run in #Warren - Nov 30 @4:34 PM ET https://oddcrimes.com/static/2019/11/30/Police-seek-identity-of-driver-involved-in-fatal-hit-and-run-in-Warren.php",,,#Police #identity #fatal #Warren,1200891483013951494,https://twitter.com/PulpNews/status/1200891483013951494
2019-11-30 21:25:39,JohnMentally,,0,0,1,"One concern I have about the #Bernie/#Warren #WealthTax is ""wealth flight"". They might rethink moving to the United States or even leave the country and revoke their citizenship just before a wealth tax takes effect. Rich people have left countries to avoid the estate tax before.",,,#Bernie #Warren #WealthTax,1200888646393577472,https://twitter.com/JohnMentally/status/1200888646393577472
